Model_Name,Top-1 Accuracy on Test Set,F1_Score on Test Set,ROC_AUC_Score on Test Set,Top-1 Accuracy on Train Set,F1_Score on Train Set,ROC_AUC_Score on Train Set,Difference of F1_Score on train and test,Parameters
LGBMClassifier,0.7899408284023669,0.7871947941442523,0.9573480440026171,0.9889610389610389,0.9889599185665074,0.9999089925226288,0.20176512442225514,"{'boosting_type': 'gbdt', 'max_depth': -1, 'learning_rate': 0.05, 'n_estimators': 300, 'subsample': 0.8, 'colsample_bytree': 0.8, 'num_leaves': 31, 'random_state': 42}"
CatBoostClassifier,0.7751479289940828,0.7673596253715154,0.9529908701438583,0.9084415584415585,0.9080226005371387,0.992245670995671,0.14066297516562332,"{'train_dir': '/tmp/tmpvzak1oaq', 'iterations': 300, 'depth': 6, 'learning_rate': 0.05, 'loss_function': 'MultiClass', 'random_seed': 42, 'verbose': 0}"
RandomForestClassifier,0.757396449704142,0.7497951331646243,0.9545872585237694,0.9006493506493507,0.8999815466876508,0.9922038567493114,0.15018641352302653,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'n_estimators': 200, 'max_features': 'sqrt'}"
XGBClassifier,0.7514792899408284,0.7441405174246837,0.9420097967590201,0.8376623376623377,0.8352921588296452,0.9810758559622197,0.09115164140496157,"{'max_depth': 5, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'n_estimators': 300, 'gamma': 1, 'min_child_weight': 3}"
GradientBoostingClassifier,0.7485207100591716,0.7440026809906,0.9347140443078702,0.8402597402597403,0.8382675507666294,0.9807059228650139,0.09426486977602944,"{'learning_rate': 0.05, 'n_estimators': 200, 'max_depth': 3, 'subsample': 0.8, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'random_state': 42}"
