Model_Name,Top-1 Accuracy on Test Set,F1_Score on Test Set,ROC_AUC_Score on Test Set,Top-1 Accuracy on Train Set,F1_Score on Train Set,ROC_AUC_Score on Train Set,Difference of F1_Score on train and test
LGBMClassifier,0.9112426035502958,0.9093226400901713,0.9921535113909468,0.9993506493506493,0.9993506459965481,0.9999990161353798,0.09002800590637683
CatBoostClassifier,0.8964497041420119,0.8937773618132321,0.989478128478751,0.9714285714285714,0.9714130206816687,0.9991125541125541,0.0776356588684366
GradientBoostingClassifier,0.8905325443786982,0.8878433832380136,0.9869140819560223,0.9681818181818181,0.9681147762823222,0.9985748720975994,0.08027139304430864
XGBClassifier,0.8875739644970414,0.8826809349956489,0.9883233415075071,0.9474025974025974,0.9472997059843008,0.9970356158992523,0.06461877098865187
RandomForestClassifier,0.8875739644970414,0.8855872722937809,0.9872955273503974,0.9727272727272728,0.9727627909700667,0.999030401416765,0.08717551867628581
