Model_Name,Top-1 Accuracy on Test Set,F1_Score on Test Set,ROC_AUC_Score on Test Set,Top-1 Accuracy on Train Set,F1_Score on Train Set,ROC_AUC_Score on Train Set,Difference of F1_Score on train and test,Parameters
LGBMClassifier,0.9644970414201184,0.9639511887219212,0.9987858483607609,1.0,1.0,1.0,0.036048811278078796,"{'boosting_type': 'gbdt', 'max_depth': -1, 'learning_rate': 0.05, 'n_estimators': 300, 'subsample': 0.8, 'colsample_bytree': 0.8, 'num_leaves': 31, 'random_state': 42}"
CatBoostClassifier,0.9497041420118343,0.9489063624356566,0.998094118013695,0.9948051948051948,0.9948066338056958,0.9999724517906337,0.04590027137003916,"{'train_dir': '/tmp/tmpvzak1oaq', 'iterations': 300, 'depth': 6, 'learning_rate': 0.05, 'loss_function': 'MultiClass', 'random_seed': 42, 'verbose': 0}"
XGBClassifier,0.9467455621301775,0.9472016114856154,0.9966942845321439,0.9883116883116884,0.9883084727667271,0.9998160173160172,0.04110686128111163,"{'max_depth': 5, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'n_estimators': 300, 'gamma': 1, 'min_child_weight': 3}"
GradientBoostingClassifier,0.9319526627218935,0.9299693842506802,0.9943349197068152,0.9974025974025974,0.997405515561753,0.9999862258953168,0.06743613131107284,"{'learning_rate': 0.05, 'n_estimators': 200, 'max_depth': 3, 'subsample': 0.8, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'random_state': 42}"
RandomForestClassifier,0.9201183431952663,0.9185676392719623,0.9940481327433782,0.9889610389610389,0.9889830766245187,0.9998839039748131,0.0704154373525564,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'n_estimators': 200, 'max_features': 'sqrt'}"
