Model_Name,Top-1 Accuracy on Test Set,F1_Score on Test Set,ROC_AUC_Score on Test Set,Top-1 Accuracy on Train Set,F1_Score on Train Set,ROC_AUC_Score on Train Set,Difference of F1_Score on train and test
RandomForestClassifier,0.7633136094674556,0.7573244466325857,0.9499313019468876,0.8911111111111111,0.8895391032558164,0.9907700421825009,0.13221465662323073
XGBClassifier,0.727810650887574,0.7220654247823817,0.9369847713802425,0.8059259259259259,0.7994022018317961,0.9730179969645733,0.07733677704941444
GradientBoostingClassifier,0.7218934911242604,0.7160325065008857,0.9326321691943685,0.8274074074074074,0.8221718744013126,0.9790021103954591,0.10613936790042688
