Model_Name,Top-1 Accuracy on Test Set,F1_Score on Test Set,ROC_AUC_Score on Test Set,Top-1 Accuracy on Train Set,F1_Score on Train Set,ROC_AUC_Score on Train Set,Difference of F1_Score on train and test,Best Parameters
RandomForestClassifier,0.7899408284023669,0.7862330929059321,0.960972597319798,0.98,0.9799130433312435,0.9995558977826372,0.1936799504253114,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}"
GradientBoostingClassifier,0.7810650887573964,0.7757144487333039,0.9497316385450808,0.9740740740740741,0.9739899909771312,0.9993457236755033,0.19827554224382737,"{'subsample': 0.8, 'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_depth': 5, 'learning_rate': 0.05}"
XGBClassifier,0.7692307692307693,0.766318930318955,0.9406460816368876,0.8674074074074074,0.86422572688609,0.9849081896336948,0.09790679656713497,"{'subsample': 1.0, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.8}"
